,openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,trades,takerBaseAssetVolume,takerQuoteAssetVolume,ignored
279428,1661768100000,1451.01000000,1453.32000000,1450.50000000,1451.14000000,823.33260000,1661768399999,1195355.03927900,1886,423.47650000,614829.93942200,0
279429,1661768400000,1451.14000000,1451.56000000,1449.27000000,1450.01000000,1386.27150000,1661768699999,2010875.58636100,1780,552.13960000,800831.70710000,0
279430,1661768700000,1450.01000000,1450.72000000,1447.20000000,1447.61000000,1470.90150000,1661768999999,2130848.43241600,2053,493.63440000,715222.18325800,0
279431,1661769000000,1447.61000000,1451.14000000,1447.61000000,1450.21000000,1567.51230000,1661769299999,2271891.43450200,2271,1006.08590000,1458120.20220400,0
279432,1661769300000,1450.21000000,1451.07000000,1445.55000000,1448.96000000,3179.24800000,1661769599999,4603141.40955400,3313,1742.45070000,2522734.04479600,0
279433,1661769600000,1448.95000000,1449.97000000,1447.41000000,1447.69000000,984.80390000,1661769899999,1426667.85985400,1817,369.92950000,535868.73812500,0
279434,1661769900000,1447.69000000,1452.24000000,1447.34000000,1452.23000000,1542.12130000,1661770199999,2236503.41137200,2098,1006.91380000,1460439.78780900,0
279435,1661770200000,1452.23000000,1452.60000000,1449.61000000,1452.11000000,2848.37720000,1661770499999,4132904.56611000,3051,1286.33820000,1866187.54066300,0
279436,1661770500000,1452.10000000,1452.67000000,1450.09000000,1450.44000000,1368.74040000,1661770799999,1986474.82252600,2321,734.42540000,1065873.81330600,0
279437,1661770800000,1450.45000000,1451.48000000,1448.26000000,1450.96000000,1531.25350000,1661771099999,2220459.30847100,2599,793.03720000,1149768.53316500,0
279438,1661771100000,1450.96000000,1451.67000000,1444.63000000,1445.32000000,2345.87190000,1661771399999,3396159.48934800,3106,889.04630000,1286895.75119300,0
279439,1661771400000,1445.32000000,1446.97000000,1443.50000000,1444.13000000,3157.09360000,1661771699999,4560919.16942300,3285,1291.67800000,1866268.82007100,0
279440,1661771700000,1444.13000000,1446.17000000,1443.06000000,1443.26000000,1486.39820000,1661771999999,2147437.35508100,2291,675.82520000,976441.24163900,0
279441,1661772000000,1443.25000000,1449.40000000,1442.00000000,1449.37000000,4417.34130000,1661772299999,6386572.01544000,4345,3018.28240000,4364218.62739900,0
279442,1661772300000,1449.37000000,1449.59000000,1445.99000000,1447.25000000,1937.34310000,1661772599999,2804301.72095100,3607,1010.80450000,1463060.07013300,0
279443,1661772600000,1447.25000000,1448.85000000,1445.17000000,1445.71000000,1150.07000000,1661772899999,1663940.12465900,2349,538.24300000,778647.94454400,0
279444,1661772900000,1445.70000000,1447.39000000,1445.02000000,1447.07000000,1329.50100000,1661773199999,1922476.79665500,2441,627.12060000,906839.63655600,0
279445,1661773200000,1447.07000000,1448.84000000,1445.83000000,1447.05000000,1239.40290000,1661773499999,1793813.16579600,2592,758.17470000,1097271.31331900,0
279446,1661773500000,1447.04000000,1448.68000000,1445.30000000,1448.58000000,888.02800000,1661773799999,1284942.79257800,2123,463.77370000,671061.22507900,0
279447,1661773800000,1448.59000000,1448.99000000,1446.94000000,1447.35000000,960.06320000,1661774099999,1390164.64557200,1923,526.09550000,761706.09596500,0
279448,1661774100000,1447.36000000,1449.05000000,1446.31000000,1449.04000000,738.11430000,1661774399999,1068565.32916400,1587,356.69820000,516349.43108100,0
279449,1661774400000,1449.05000000,1449.98000000,1447.01000000,1448.87000000,1112.57030000,1661774699999,1611796.92489900,2361,560.42570000,811888.87329600,0
279450,1661774700000,1448.87000000,1452.57000000,1448.54000000,1451.55000000,2042.30260000,1661774999999,2963052.74747500,3374,1323.48000000,1920149.02830900,0
279451,1661775000000,1451.55000000,1451.65000000,1448.56000000,1451.45000000,1360.59630000,1661775299999,1972822.33597200,2365,720.64250000,1044842.13350400,0
279452,1661775300000,1451.45000000,1453.16000000,1450.13000000,1450.22000000,1310.29520000,1661775599999,1902459.71736300,2376,709.51200000,1030167.28842200,0
279453,1661775600000,1450.21000000,1456.48000000,1450.15000000,1456.00000000,2230.86000000,1661775899999,3244300.37383800,3370,1362.11120000,1980830.79758000,0
279454,1661775900000,1456.00000000,1486.75000000,1455.72000000,1484.60000000,23467.18950000,1661776199999,34525425.52852900,23195,14023.90030000,20623418.61799800,0
279455,1661776200000,1484.60000000,1492.60000000,1477.75000000,1491.55000000,17155.91190000,1661776499999,25488136.51576400,17419,10337.27270000,15362100.93393600,0
279456,1661776500000,1491.54000000,1497.36000000,1486.13000000,1489.62000000,9491.48070000,1661776799999,14149005.02627900,10981,5040.67530000,7515837.27497600,0
279457,1661776800000,1489.63000000,1489.98000000,1480.35000000,1483.12000000,5755.27280000,1661777099999,8543094.78592800,6659,2263.01530000,3358487.36839400,0
279458,1661777100000,1483.13000000,1485.58000000,1473.37000000,1476.32000000,3923.82950000,1661777399999,5802594.37518700,6325,1726.30670000,2553163.15279300,0
279459,1661777400000,1476.33000000,1481.58000000,1475.91000000,1479.23000000,2553.69040000,1661777699999,3776826.58574500,4120,1124.56730000,1663134.10428000,0
279460,1661777700000,1479.24000000,1480.70000000,1475.77000000,1475.90000000,1983.79420000,1661777999999,2931828.48349400,3151,1043.67740000,1542315.10343600,0
279461,1661778000000,1475.90000000,1479.90000000,1475.77000000,1476.77000000,2833.48860000,1661778299999,4188628.21799300,3877,1242.36160000,1836300.50265500,0
279462,1661778300000,1476.76000000,1481.49000000,1476.68000000,1479.18000000,2244.78520000,1661778599999,3319997.34157900,3423,1065.27510000,1575415.95976900,0
279463,1661778600000,1479.19000000,1480.59000000,1476.27000000,1476.27000000,1877.27660000,1661778899999,2776088.46157400,2834,868.25970000,1283963.47992700,0
279464,1661778900000,1476.28000000,1481.81000000,1475.54000000,1480.14000000,2624.19300000,1661779199999,3879421.27454800,3754,1494.71600000,2209593.45408200,0
279465,1661779200000,1480.14000000,1486.50000000,1479.20000000,1484.66000000,2509.13440000,1661779499999,3721641.70705000,4095,1613.98080000,2393701.68305200,0
279466,1661779500000,1484.67000000,1489.45000000,1483.49000000,1483.93000000,3965.88960000,1661779799999,5893772.63392400,5358,2276.99200000,3383759.65354800,0
279467,1661779800000,1483.93000000,1493.68000000,1481.22000000,1491.43000000,9540.25010000,1661780099999,14193514.58774500,10852,4874.93480000,7252808.40910900,0
279468,1661780100000,1491.43000000,1503.66000000,1488.17000000,1494.69000000,16485.97060000,1661780399999,24677467.09632200,15380,8888.20850000,13307304.06397000,0
279469,1661780400000,1494.70000000,1503.33000000,1493.51000000,1498.77000000,8352.83980000,1661780699999,12520678.27846100,9008,3885.28930000,5823253.85830300,0
